TOWN,TYPE,2018,2017,2016,2015,2014,2013,2012
Montville ,UN,389,431,474,576,650,768,893
Montville ,RT,4.1,4.6,5.1,6.2,6.9,8.1,9.0
,,,,,,,,
Morris,LF,"1,445","1,411","1,419","1,414","1,421","1,390","1,461"
Morris,EM,"1,395","1,360","1,365","1,353","1,346","1,308","1,360"
Morris,UN,50,51,54,61,75,82,101
Morris,RT,3.5,3.6,3.8,4.3,5.3,5.9,6.9
,,,,,,,,
Naugatuck ,LF,"17,447","17,327","17,302","17,375","17,461","17,283","17,761"
Naugatuck ,EMP,"16,632","16,385","16,282","16,197","16,107","15,713","15,987"
Naugatuck ,UN,815,942,"1,020","1,178","1,354","1,570","1,774"
Naugatuck ,RT,4.7,5.4,5.9,6.8,7.8,9.1,10.0
,,,,,,,,
New Britain ,LF,"36,815","36,684","36,530","36,699","36,703","36,387","37,600"
New Britain ,EMP,"34,756","34,336","33,992","33,815","33,418","32,544","33,014"
New Britain ,UN,"2,059","2,348","2,538","2,884","3,285","3,843","4,586"
New Britain ,RT,5.6,6.4,6.9,7.9,9.0,10.6,12.2
,,,,,,,,
New Canaan ,LF,"8,396","8,376","8,391","8,352","8,287","8,142","8,435"
New Canaan ,EMP,"8,131","8,050","8,060","7,997","7,875","7,656","7,873"
New Canaan ,UN,265,326,331,355,412,486,562
New Canaan ,RT,3.2,3.9,3.9,4.3,5.0,6.0,6.7
,,,,,,,,
New Fairfield,LF,"7,131","7,138","7,168","7,202","7,177","7,063","7,380"
New Fairfield,EMP,"6,891","6,851","6,859","6,862","6,802","6,608","6,771"
New Fairfield,UN,240,287,309,340,375,455,609
New Fairfield,RT,3.4,4.0,4.3,4.7,5.2,6.4,8.3
,,,,,,,,
New Hartford,LF,"4,010","3,975","3,983","3,977","3,988","3,964","4,045"
New Hartford,EMP,"3,875","3,823","3,812","3,788","3,763","3,697","3,764"
New Hartford,UN,135,152,171,189,225,267,281
New Hartford,RT,3.4,3.8,4.3,4.8,5.6,6.7,6.9
,,,,,,,,
New Haven,LF,"64,773","64,763","64,069","64,008","64,125","63,868","65,711"
New Haven,EMP,"61,492","60,877","59,895","59,317","58,652","57,239","57,798"
New Haven,UN,"3,281","3,886","4,174","4,691","5,473","6,629","7,913"
New Haven,RT,5.1,6.0,6.5,7.3,8.5,10.4,12.0
,,,,,,,,
New London ,LF,"12,101","12,142","11,957","11,992","12,081","12,291","12,991"
New London ,EMP,"11,436","11,373","11,099","11,005","10,958","10,874","11,293"
New London ,UN,665,769,858,987,"1,123","1,417","1,698"
New London ,RT,5.5,6.3,7.2,8.2,9.3,11.5,13.1
,,,,,,,,
New Milford,LF,"15,184","15,170","15,286","15,289","15,357","15,283","15,909"
New Milford,EMP,"14,637","14,552","14,611","14,557","14,512","14,253","14,683"
New Milford,UN,547,618,675,732,845,"1,030","1,226"
New Milford,RT,3.6,4.1,4.4,4.8,5.5,6.7,7.7
,,,,,,,,
Newington ,LF,"17,449","17,325","17,270","17,286","17,223","17,006","17,319"
Newington ,EMP,"16,820","16,616","16,494","16,450","16,283","15,882","16,010"
Newington ,UN,629,709,776,836,940,"1,124","1,309"
Newington ,RT,3.6,4.1,4.5,4.8,5.5,6.6,7.6
,,,,,,,,
Newtown ,LF,"14,168","14,145","14,193","14,165","14,176","13,883","14,397"
Newtown ,EMP,"13,678","13,598","13,578","13,542","13,465","13,067","13,382"
Newtown ,UN,490,547,615,623,711,816,"1,015"
Newtown ,RT,3.5,3.9,4.3,4.4,5.0,5.9,7.1
,,,,,,,,
Norfolk,LF,918,896,901,896,902,894,911
Norfolk,EM,885,863,860,853,847,823,856
Norfolk,UN,33,33,41,43,55,71,55
Norfolk,RT,3.6,3.7,4.6,4.8,6.1,7.9,6.0
,,,,,,,,
North Branford ,LF,"8,228","8,184","8,160","8,145","8,131","8,010","8,199"
North Branford ,EMP,"7,940","7,861","7,792","7,730","7,677","7,486","7,567"
North Branford ,UN,288,323,368,415,454,524,632
North Branford ,RT,3.5,3.9,4.5,5.1,5.6,6.5,7.7
,,,,,,,,
North Canaan ,LF,"1,787","1,745","1,720","1,697","1,702","1,665","1,759"
North Canaan ,EMP,"1,724","1,681","1,637","1,617","1,605","1,550","1,614"
North Canaan ,UN,63,64,83,80,97,115,145
North Canaan ,RT,3.5,3.7,4.8,4.7,5.7,6.9,8.2
,,,,,,,,
North Haven ,LF,"13,433","13,370","13,302","13,276","13,272","13,079","13,458"
North Haven ,EMP,"12,956","12,827","12,702","12,606","12,509","12,189","12,304"
North Haven ,UN,477,543,600,670,763,890,"1,154"
North Haven ,RT,3.6,4.1,4.5,5.0,5.7,6.8,8.6
,,,,,,,,
North Stonington ,LF,"2,956","2,950","2,900","2,867","2,895","2,901","3,018"
North Stonington ,EMP,"2,854","2,838","2,779","2,728","2,713","2,677","2,783"
North Stonington ,UN,102,112,121,139,182,224,235
North Stonington ,RT,3.5,3.8,4.2,4.8,6.3,7.7,7.8
,,,,,,,,
Norwalk,LF,"50,799","50,588","50,722","50,379","49,972","49,142","50,642"
Norwalk,EMP,"48,926","48,440","48,417","47,809","47,063","45,837","47,021"
Norwalk,UN,"1,873","2,148","2,305","2,570","2,909","3,305","3,621"
Norwalk,RT,3.7,4.2,4.5,5.1,5.8,6.7,7.2
,,,,,,,,
Norwich,LF,"20,328","20,337","20,156","20,244","20,383","20,478","21,424"
Norwich,EMP,"19,415","19,307","18,946","18,811","18,729","18,547","19,272"
Norwich,UN,913,"1,030","1,210","1,433","1,654","1,931","2,152"
Norwich,RT,4.5,5.1,6.0,7.1,8.1,9.4,10.0
,,,,,,,,
Old Lyme ,LF,"3,781","3,774","3,714","3,711","3,731","3,726","3,900"
Old Lyme ,EMP,"3,645","3,625","3,567","3,536","3,521","3,480","3,612"
Old Lyme ,UN,136,149,147,175,210,246,288
Old Lyme ,RT,3.6,3.9,4.0,4.7,5.6,6.6,7.4
,,,,,,,,
Old Saybrook ,LF,"5,109","5,085","5,060","5,034","5,036","4,963","5,099"
Old Saybrook ,EMP,"4,936","4,879","4,839","4,798","4,768","4,647","4,688"
Old Saybrook ,UN,173,206,221,236,268,316,411
Old Saybrook ,RT,3.4,4.1,4.4,4.7,5.3,6.4,8.1
,,,,,,,,
Orange ,LF,"7,348","7,287","7,236","7,190","7,167","7,047","7,194"
Orange ,EMP,"7,111","7,039","6,941","6,870","6,800","6,616","6,670"
Orange ,UN,237,248,295,320,367,431,524
Orange ,RT,3.2,3.4,4.1,4.5,5.1,6.1,7.3
,,,,,,,,
Oxford,LF,"7,178","7,169","7,195","7,162","7,078","6,956","7,233"
Oxford,EMP,"6,936","6,867","6,881","6,806","6,674","6,508","6,699"
Oxford,UN,242,302,314,356,404,448,534
Oxford,RT,3.4,4.2,4.4,5.0,5.7,6.4,7.4
,,,,,,,,
Plainfield ,LF,"8,673","8,647","8,612","8,568","8,621","8,544","8,791"
Plainfield ,EMP,"8,263","8,180","8,098","7,970","7,916","7,716","7,886"
Plainfield ,UN,410,467,514,598,705,828,905
Plainfield ,RT,4.7,5.4,6.0,7.0,8.2,9.7,10.3
,,,,,,,,
Plainville ,LF,"10,569","10,532","10,447","10,441","10,436","10,313","10,536"
Plainville ,EMP,"10,139","10,017","9,922","9,890","9,779","9,526","9,648"
Plainville ,UN,430,515,525,551,657,787,888
Plainville ,RT,4.1,4.9,5.0,5.3,6.3,7.6,8.4
,,,,,,,,
Plymouth ,LF,"6,680","6,636","6,660","6,675","6,726","6,688","6,898"
Plymouth ,EMP,"6,373","6,287","6,272","6,238","6,206","6,099","6,212"
Plymouth ,UN,307,349,388,437,520,589,686
Plymouth ,RT,4.6,5.3,5.8,6.5,7.7,8.8,9.9
,,,,,,,,
Pomfret ,LF,"2,512","2,485","2,461","2,449","2,455","2,420","2,503"
Pomfret ,EMP,"2,429","2,405","2,374","2,343","2,327","2,265","2,317"
Pomfret ,UN,83,80,87,106,128,155,186
Pomfret ,RT,3.3,3.2,3.5,4.3,5.2,6.4,7.4
,,,,,,,,
Portland ,LF,"5,531","5,492","5,484","5,467","5,471","5,376","5,518"
Portland ,EMP,"5,327","5,262","5,215","5,193","5,156","5,023","5,097"
Portland ,UN,204,230,269,274,315,353,421
Portland ,RT,3.7,4.2,4.9,5.0,5.8,6.6,7.6
,,,,,,,,
Preston ,LF,"2,433","2,445","2,407","2,389","2,423","2,416","2,559"
Preston ,EMP,"2,337","2,324","2,285","2,259","2,254","2,225","2,306"
Preston ,UN,96,121,122,130,169,191,253
Preston ,RT,3.9,4.9,5.1,5.4,7.0,7.9,9.9
,,,,,,,,
Prospect,LF,"5,692","5,635","5,598","5,590","5,569","5,435","5,567"
Prospect,EMP,"5,489","5,408","5,363","5,301","5,243","5,080","5,141"
Prospect,UN,203,227,235,289,326,355,426
Prospect,RT,3.6,4.0,4.2,5.2,5.9,6.5,7.7
,,,,,,,,
Putnam ,LF,"4,846","4,827","4,796","4,789","4,792","4,766","4,949"
Putnam ,EMP,"4,616","4,569","4,519","4,463","4,437","4,321","4,423"
Putnam ,UN,230,258,277,326,355,445,526
Putnam ,RT,4.7,5.3,5.8,6.8,7.4,9.3,10.6
,,,,,,,,
Redding,LF,"4,444","4,429","4,470","4,460","4,431","4,391","4,597"
Redding,EMP,"4,308","4,266","4,283","4,262","4,219","4,128","4,256"
Redding,UN,136,163,187,198,212,263,341
Redding,RT,3.1,3.7,4.2,4.4,4.8,6.0,7.4
,,,,,,,,
Ridgefield ,LF,"11,862","11,815","11,832","11,784","11,735","11,566","11,985"
Ridgefield ,EMP,"11,487","11,373","11,384","11,317","11,166","10,903","11,210"
Ridgefield ,UN,375,442,448,467,569,663,775
Ridgefield ,RT,3.2,3.7,3.8,4.0,4.8,5.7,6.5
,,,,,,,,
Rocky Hill ,LF,"11,668","11,595","11,551","11,430","11,414","11,103","11,272"
Rocky Hill ,EMP,"11,310","11,173","11,093","10,943","10,843","10,457","10,507"
Rocky Hill ,UN,358,422,458,487,571,646,765
Rocky Hill ,RT,3.1,3.6,4.0,4.3,5.0,5.8,6.8
,,,,,,,,
Roxbury ,LF,"1,354","1,322","1,328","1,316","1,315","1,295","1,347"
Roxbury ,EMP,"1,313","1,280","1,286","1,274","1,265","1,227","1,277"
Roxbury ,UN,41,42,42,42,50,68,70
Roxbury ,RT,3.0,3.2,3.2,3.2,3.8,5.3,5.2
,,,,,,,,
Salem ,LF,"2,144","2,149","2,134","2,120","2,108","2,123","2,240"
Salem ,EMP,"2,065","2,054","2,024","2,000","1,977","1,959","2,028"
Salem ,UN,79,95,110,120,131,164,212
Salem ,RT,3.7,4.4,5.2,5.7,6.2,7.7,9.5
,,,,,,,,
Salisbury ,LF,"1,849","1,814","1,811","1,801","1,799","1,750","1,842"
Salisbury ,EMP,"1,794","1,749","1,752","1,735","1,724","1,665","1,727"
Salisbury ,UN,55,65,59,66,75,85,115
Salisbury ,RT,3.0,3.6,3.3,3.7,4.2,4.9,6.2
,,,,,,,,
Scotland ,LF,967,963,957,961,958,925,946
Scotland ,EMP,928,917,911,907,899,878,893
Scotland ,UN,39,46,46,54,59,47,53
Scotland ,RT,4.0,4.8,4.8,5.6,6.2,5.1,5.6
,,,,,,,,
Seymour ,LF,"9,001","8,964","9,058","8,959","8,982","8,899","9,250"
Seymour ,EMP,"8,616","8,531","8,565","8,414","8,346","8,180","8,451"
Seymour ,UN,385,433,493,545,636,719,799
Seymour ,RT,4.3,4.8,5.4,6.1,7.1,8.1,8.6
,,,,,,,,
Sharon ,LF,"1,517","1,486","1,487","1,466","1,467","1,432","1,491"
Sharon ,EMP,"1,474","1,437","1,439","1,413","1,404","1,354","1,407"
Sharon ,UN,43,49,48,53,63,78,84
Sharon ,RT,2.8,3.3,3.2,3.6,4.3,5.4,5.6
,,,,,,,,
Shelton ,LF,"22,194","22,101","22,259","22,075","22,037","21,629","22,219"
Shelton ,EMP,"21,275","21,064","21,156","20,860","20,614","20,017","20,290"
Shelton ,UN,919,"1,037","1,103","1,215","1,423","1,612","1,929"
Shelton ,RT,4.1,4.7,5.0,5.5,6.5,7.5,8.7
,,,,,,,,
Sherman ,LF,"1,867","1,871","1,881","1,879","1,877","1,846","1,892"
Sherman ,EMP,"1,810","1,800","1,803","1,801","1,784","1,733","1,769"
Sherman ,UN,57,71,78,78,93,113,123
Sherman ,RT,3.1,3.8,4.1,4.2,5.0,6.1,6.5
,,,,,,,,
Simsbury ,LF,"13,745","13,638","13,279","13,155","12,884","12,559","12,718"
Simsbury ,EMP,"13,356","13,194","12,803","12,662","12,310","11,902","11,937"
Simsbury ,UN,389,444,476,493,574,657,781
Simsbury ,RT,2.8,3.3,3.6,3.7,4.5,5.2,6.1
,,,,,,,,
Somers ,LF,"5,174","5,148","5,103","5,196","5,123","5,021","5,197"
Somers ,EMP,"4,992","4,934","4,871","4,951","4,827","4,692","4,808"
Somers ,UN,182,214,232,245,296,329,389
Somers ,RT,3.5,4.2,4.5,4.7,5.8,6.6,7.5
,,,,,,,,
South Windsor ,LF,"14,352","14,231","14,080","14,033","13,989","13,747","14,049"
South Windsor ,EMP,"13,861","13,693","13,479","13,391","13,238","12,892","13,045"
South Windsor ,UN,491,538,601,642,751,855,"1,004"
South Windsor ,RT,3.4,3.8,4.3,4.6,5.4,6.2,7.1
,,,,,,,,
Southbury ,LF,"8,709","8,661","8,768","8,748","8,766","8,661","9,068"
Southbury ,EMP,"8,365","8,282","8,331","8,266","8,254","8,064","8,341"
Southbury ,UN,344,379,437,482,512,597,727
Southbury ,RT,3.9,4.4,5.0,5.5,5.8,6.9,8.0
,,,,,,,,
Southington,LF,"24,788","24,596","24,392","24,358","24,288","23,801","24,176"
Southington,EMP,"23,910","23,620","23,338","23,206","22,910","22,215","22,411"
Southington,UN,878,976,"1,054","1,152","1,378","1,586","1,765"
Southington,RT,3.5,4.0,4.3,4.7,5.7,6.7,7.3
,,,,,,,,
Sprague,LF,"1,621","1,628","1,599","1,614","1,625","1,636","1,742"
Sprague,EMP,"1,549","1,540","1,512","1,504","1,501","1,479","1,538"
Sprague,UN,72,88,87,110,124,157,204
Sprague,RT,4.4,5.4,5.4,6.8,7.6,9.6,11.7
,,,,,,,,
Stafford ,LF,"6,953","6,906","6,805","6,845","6,832","6,766","6,906"
Stafford ,EMP,"6,663","6,582","6,425","6,412","6,355","6,207","6,321"
Stafford ,UN,290,324,380,433,477,559,585
Stafford ,RT,4.2,4.7,5.6,6.3,7.0,8.3,8.5
,,,,,,,,
Stamford ,LF,"70,883","70,533","70,191","69,478","68,925","67,131","69,289"
Stamford ,EMP,"68,274","67,595","67,107","66,107","65,024","62,693","64,008"
Stamford ,UN,"2,609","2,938","3,084","3,371","3,901","4,438","5,281"
Stamford ,RT,3.7,4.2,4.4,4.9,5.7,6.6,7.6
,,,,,,,,
Sterling ,LF,"2,024","2,019","2,009","2,009","2,026","1,970","2,060"
Sterling ,EMP,"1,923","1,903","1,887","1,867","1,851","1,797","1,839"
Sterling ,UN,101,116,122,142,175,173,221
Sterling ,RT,5.0,5.7,6.1,7.1,8.6,8.8,10.7
,,,,,,,,
Stonington ,LF,"9,844","9,827","9,684","9,482","9,544","9,471","9,875"
Stonington ,EMP,"9,516","9,463","9,294","9,012","8,979","8,869","9,206"
Stonington ,UN,328,364,390,470,565,602,669
Stonington ,RT,3.3,3.7,4.0,5.0,5.9,6.4,6.8
,,,,,,,,
Stratford,LF,"27,350","27,324","27,477","27,489","27,539","26,973","28,319"
Stratford,EMP,"26,070","25,810","25,866","25,754","25,510","24,656","25,449"
Stratford,UN,"1,280","1,514","1,611","1,735","2,029","2,317","2,870"
Stratford,RT,4.7,5.5,5.9,6.3,7.4,8.6,10.1
,,,,,,,,
Suffield ,LF,"7,646","7,597","7,495","7,441","7,482","7,324","7,368"
Suffield ,EMP,"7,385","7,299","7,182","7,098","7,068","6,849","6,841"
Suffield ,UN,261,298,313,343,414,475,527
Suffield ,RT,3.4,3.9,4.2,4.6,5.5,6.5,7.2
,,,,,,,,
Thomaston ,LF,"4,771","4,716","4,703","4,702","4,726","4,705","4,832"
Thomaston ,EMP,"4,589","4,527","4,500","4,467","4,441","4,360","4,442"
Thomaston ,UN,182,189,203,235,285,345,390
Thomaston ,RT,3.8,4.0,4.3,5.0,6.0,7.3,8.1
,,,,,,,,
Thompson ,LF,"5,260","5,246","5,227","5,175","5,165","5,144","5,292"
Thompson ,EMP,"5,051","5,000","4,947","4,878","4,836","4,708","4,813"
Thompson ,UN,209,246,280,297,329,436,479
Thompson ,RT,4.0,4.7,5.4,5.7,6.4,8.5,9.1
,,,,,,,,
Tolland ,LF,"8,643","8,568","8,570","8,548","8,517","8,394","8,625"
Tolland ,EMP,"8,381","8,280","8,253","8,214","8,122","7,927","8,062"
Tolland ,UN,262,288,317,334,395,467,563
Tolland ,RT,3.0,3.4,3.7,3.9,4.6,5.6,6.5
,,,,,,,,
Torrington,LF,"19,174","19,107","19,377","19,809","19,844","19,683","20,228"
Torrington,EMP,"18,273","18,065","18,238","18,562","18,396","18,009","18,313"
Torrington,UN,901,"1,042","1,139","1,247","1,448","1,674","1,915"
Torrington,RT,4.7,5.5,5.9,6.3,7.3,8.5,9.5
,,,,,,,,
Trumbull ,LF,"17,990","17,880","18,065","18,125","18,024","17,778","18,540"
Trumbull ,EMP,"17,315","17,143","17,284","17,242","17,015","16,638","17,160"
Trumbull ,UN,675,737,781,883,"1,009","1,140","1,380"
Trumbull ,RT,3.8,4.1,4.3,4.9,5.6,6.4,7.4
,,,,,,,,
Union* ,LF,464,464,465,466,464,455,474
Union* ,EMP,452,447,443,442,437,426,434
Union* ,UN,12,17,22,24,27,29,40
Union* ,RT,2.6,3.7,4.7,5.2,5.8,6.4,8.4
,,,,,,,,
Vernon ,LF,"17,470","17,337","17,193","17,045","17,088","16,860","17,223"
Vernon ,EMP,"16,777","16,574","16,362","16,117","15,988","15,590","15,783"
Vernon ,UN,693,763,831,928,"1,100","1,270","1,440"
Vernon ,RT,4.0,4.4,4.8,5.4,6.4,7.5,8.4
,,,,,,,,
Voluntown ,LF,"1,484","1,497","1,474","1,475","1,470","1,489","1,556"
Voluntown ,EMP,"1,430","1,423","1,397","1,383","1,375","1,365","1,416"
Voluntown ,UN,54,74,77,92,95,124,140
Voluntown ,RT,3.6,4.9,5.2,6.2,6.5,8.3,9.0
,,,,,,,,
Wallingford,LF,"26,341","26,247","26,108","26,059","26,140","25,768","26,184"
Wallingford,EMP,"25,414","25,160","24,916","24,730","24,559","23,933","24,156"
Wallingford,UN,927,"1,087","1,192","1,329","1,581","1,835","2,028"
Wallingford,RT,3.5,4.1,4.6,5.1,6.0,7.1,7.7
,,,,,,,,
Warren ,LF,805,795,793,794,791,776,815
Warren ,EMP,780,760,761,755,750,728,755
Warren ,UN,25,35,32,39,41,48,60
Warren ,RT,3.1,4.4,4.0,4.9,5.2,6.2,7.4
,,,,,,,,
Washington ,LF,"2,084","2,048","2,053","2,040","2,042","1,998","2,095"
Washington ,EMP,"2,034","1,983","1,987","1,966","1,951","1,890","1,965"
Washington ,UN,50,65,66,74,91,108,130
Washington ,RT,2.4,3.2,3.2,3.6,4.5,5.4,6.2
,,,,,,,,
Waterbury,LF,"50,973","50,682","50,629","51,066","51,573","51,396","52,750"
Waterbury,EMP,"47,623","46,916","46,570","46,338","46,120","45,075","45,875"
Waterbury,UN,"3,350","3,766","4,059","4,728","5,453","6,321","6,875"
Waterbury,RT,6.6,7.4,8.0,9.3,10.6,12.3,13.0
,,,,,,,,
Waterford ,LF,"10,167","10,177","10,077","10,077","10,105","10,178","10,687"
Waterford ,EMP,"9,803","9,748","9,593","9,531","9,496","9,401","9,770"
Waterford ,UN,364,429,484,546,609,777,917
Waterford ,RT,3.6,4.2,4.8,5.4,6.0,7.6,8.6
,,,,,,,,
Watertown,LF,"13,063","12,927","12,975","13,017","13,063","12,975","13,373"
Watertown,EMP,"12,581","12,394","12,371","12,317","12,278","12,058","12,272"
Watertown,UN,482,533,604,700,785,917,"1,101"
Watertown,RT,3.7,4.1,4.7,5.4,6.0,7.1,8.2
,,,,,,,,
West Hartford,LF,"34,790","34,498","34,241","34,155","34,085","33,519","34,328"
West Hartford,EMP,"33,720","33,312","32,927","32,722","32,444","31,593","32,011"
West Hartford,UN,"1,070","1,186","1,314","1,433","1,641","1,926","2,317"
West Hartford,RT,3.1,3.4,3.8,4.2,4.8,5.7,6.7
,,,,,,,,
West Haven ,LF,"30,195","30,119","29,817","29,949","29,991","29,684","30,606"
West Haven ,EMP,"28,762","28,474","28,079","27,934","27,618","26,944","27,255"
West Haven ,UN,"1,433","1,645","1,738","2,015","2,373","2,740","3,351"
West Haven ,RT,4.7,5.5,5.8,6.7,7.9,9.2,10.9
,,,,,,,,
Westbrook ,LF,"3,685","3,656","3,649","3,589","3,583","3,515","3,573"
Westbrook ,EMP,"3,552","3,511","3,484","3,416","3,375","3,283","3,316"
Westbrook ,UN,133,145,165,173,208,232,257
Westbrook ,RT,3.6,4.0,4.5,4.8,5.8,6.6,7.2
,,,,,,,,
Weston ,LF,"4,378","4,356","4,373","4,360","4,329","4,284","4,441"
Weston ,EMP,"4,220","4,177","4,191","4,170","4,121","4,025","4,147"
Weston ,UN,158,179,182,190,208,259,294
Weston ,RT,3.6,4.1,4.2,4.4,4.8,6.0,6.6
,,,,,,,,
Westport,LF,"12,710","12,664","12,654","12,547","12,361","12,123","12,518"
Westport,EMP,"12,317","12,194","12,178","12,045","11,758","11,395","11,666"
Westport,UN,393,470,476,502,603,728,852
Westport,RT,3.1,3.7,3.8,4.0,4.9,6.0,6.8
,,,,,,,,
Wethersfield ,LF,"14,136","14,087","14,000","14,005","14,013","13,800","14,113"
Wethersfield ,EMP,"13,626","13,461","13,354","13,326","13,196","12,872","13,048"
Wethersfield ,UN,510,626,646,679,817,928,"1,065"
Wethersfield ,RT,3.6,4.4,4.6,4.8,5.8,6.7,7.5
,,,,,,,,
Willington,LF,"3,706","3,669","3,625","3,627","3,645","3,570","3,695"
Willington,EMP,"3,576","3,533","3,476","3,467","3,438","3,363","3,424"
Willington,UN,130,136,149,160,207,207,271
Willington,RT,3.5,3.7,4.1,4.4,5.7,5.8,7.3
,,,,,,,,
Wilton ,LF,"8,473","8,438","8,514","8,483","8,407","8,307","8,639"
Wilton ,EMP,"8,207","8,125","8,165","8,124","8,019","7,828","8,068"
Wilton ,UN,266,313,349,359,388,479,571
Wilton ,RT,3.1,3.7,4.1,4.2,4.6,5.8,6.6
,,,,,,,,
Winchester ,LF,"6,131","6,098","6,171","6,303","6,315","6,280","6,467"
Winchester ,EMP,"5,857","5,790","5,835","5,936","5,889","5,741","5,836"
Winchester ,UN,274,308,336,367,426,539,631
Winchester ,RT,4.5,5.1,5.4,5.8,6.7,8.6,9.8
,,,,,,,,
Windham,LF,"12,441","12,376","12,338","12,379","12,491","12,477","12,968"
Windham,EMP,"11,784","11,642","11,569","11,502","11,451","11,235","11,422"
Windham,UN,657,734,769,877,"1,040","1,242","1,546"
Windham,RT,5.3,5.9,6.2,7.1,8.3,10.0,11.9
,,,,,,,,
Windsor,LF,"16,727","16,637","16,536","16,544","16,533","16,335","16,778"
Windsor,EMP,"16,042","15,847","15,709","15,650","15,479","15,099","15,287"
Windsor,UN,685,790,827,894,"1,054","1,236","1,491"
Windsor,RT,4.1,4.7,5.0,5.4,6.4,7.6,8.9
,,,,,,,,
Windsor Locks ,LF,"7,507","7,449","7,377","7,325","7,286","7,168","7,357"
Windsor Locks ,EMP,"7,180","7,096","6,992","6,908","6,827","6,631","6,683"
Windsor Locks ,UN,327,353,385,417,459,537,674
Windsor Locks ,RT,4.4,4.7,5.2,5.7,6.3,7.5,9.2
,,,,,,,,
Wolcott ,LF,"10,001","9,918","9,893","9,854","9,870","9,763","10,088"
Wolcott ,EMP,"9,633","9,490","9,434","9,359","9,295","9,059","9,207"
Wolcott ,UN,368,428,459,495,575,704,881
Wolcott ,RT,3.7,4.3,4.6,5.0,5.8,7.2,8.7
,,,,,,,,
Woodbridge ,LF,"4,859","4,811","4,855","4,848","4,821","4,777","4,962"
Woodbridge ,EMP,"4,710","4,663","4,685","4,647","4,612","4,526","4,687"
Woodbridge ,UN,149,148,170,201,209,251,275
Woodbridge ,RT,3.1,3.1,3.5,4.1,4.3,5.3,5.5
,,,,,,,,
Woodbury,LF,"5,577","5,507","5,537","5,530","5,573","5,546","5,694"
Woodbury,EMP,"5,387","5,307","5,304","5,276","5,272","5,189","5,287"
Woodbury,UN,190,200,233,254,301,357,407
Woodbury,RT,3.4,3.6,4.2,4.6,5.4,6.4,7.1
,,,,,,,,
Woodstock ,LF,"4,190","4,161","4,147","4,105","4,107","4,050","4,170"
Woodstock ,EMP,"4,019","3,978","3,951","3,895","3,864","3,761","3,839"
Woodstock ,UN,171,183,196,210,243,289,331
Woodstock ,RT,4.1,4.4,4.7,5.1,5.9,7.1,7.9
,,,,,,,,
"* Not official BLS estimates, but were produced using BLS methodology",,,,,,,,